fixture_id,fixture_referee,fixture_timezone,fixture_date,fixture_timestamp,fixture_periods_first,fixture_periods_second,fixture_venue_id,fixture_venue_name,fixture_venue_city,fixture_status_long,fixture_status_short,fixture_status_elapsed,fixture_status_extra,league_id,league_name,league_country,league_logo,league_flag,league_season,league_round,league_standings,teams_home_id,teams_home_name,teams_home_logo,teams_home_winner,teams_away_id,teams_away_name,teams_away_logo,teams_away_winner,goals_home,goals_away,score_halftime_home,score_halftime_away,score_fulltime_home,score_fulltime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away,season
65,"Andre Marriner, England",UTC,2018-08-10T19:00:00+00:00,1533927600,1533927600,1533931200,556.0,Old Trafford,Manchester,Match Finished,FT,90,,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb-eng.svg,2018,Regular Season - 1,True,33,Manchester United,https://media.api-sports.io/football/teams/33.png,True,46,Leicester,https://media.api-sports.io/football/teams/46.png,False,2,1,1,0,2,1,,,,,2018
66,"Martin Atkinson, England",UTC,2018-08-11T11:30:00+00:00,1533987000,1533987000,1533990600,562.0,St James' Park,Newcastle upon Tyne,Match Finished,FT,90,,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb-eng.svg,2018,Regular Season - 1,True,34,Newcastle,https://media.api-sports.io/football/teams/34.png,False,47,Tottenham,https://media.api-sports.io/football/teams/47.png,True,1,2,1,2,1,2,,,,,2018
67,"Kevin Friend, England",UTC,2018-08-11T14:00:00+00:00,1533996000,1533996000,1533999600,,Vitality Stadium,Bournemouth,Match Finished,FT,90,,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb-eng.svg,2018,Regular Season - 1,True,35,Bournemouth,https://media.api-sports.io/football/teams/35.png,True,43,Cardiff,https://media.api-sports.io/football/teams/43.png,False,2,0,1,0,2,0,,,,,2018
68,"Mike Dean, England",UTC,2018-08-11T14:00:00+00:00,1533996000,1533996000,1533999600,535.0,Craven Cottage,London,Match Finished,FT,90,,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb-eng.svg,2018,Regular Season - 1,True,36,Fulham,https://media.api-sports.io/football/teams/36.png,False,52,Crystal Palace,https://media.api-sports.io/football/teams/52.png,True,0,2,0,1,0,2,,,,,2018
69,"Chris Kavanagh, England",UTC,2018-08-11T14:00:00+00:00,1533996000,1533996000,1533999600,,John Smith's Stadium,Huddersfield,Match Finished,FT,90,,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb-eng.svg,2018,Regular Season - 1,True,37,Huddersfield,https://media.api-sports.io/football/teams/37.png,False,49,Chelsea,https://media.api-sports.io/football/teams/49.png,True,0,3,0,2,0,3,,,,,2018
70,"Jonathan Moss, England",UTC,2018-08-11T14:00:00+00:00,1533996000,1533996000,1533999600,596.0,Vicarage Road,Watford,Match Finished,FT,90,,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb-eng.svg,2018,Regular Season - 1,True,38,Watford,https://media.api-sports.io/football/teams/38.png,True,51,Brighton,https://media.api-sports.io/football/teams/51.png,False,2,0,1,0,2,0,,,,,2018
71,"Craig Pawson, England",UTC,2018-08-11T16:30:00+00:00,1534005000,1534005000,1534008600,,Molineux Stadium,Wolverhampton,Match Finished,FT,90,,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb-eng.svg,2018,Regular Season - 1,True,39,Wolves,https://media.api-sports.io/football/teams/39.png,,45,Everton,https://media.api-sports.io/football/teams/45.png,,2,2,1,1,2,2,,,,,2018
72,"Anthony Taylor, England",UTC,2018-08-12T12:30:00+00:00,1534077000,1534077000,1534080600,550.0,Anfield,Liverpool,Match Finished,FT,90,,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb-eng.svg,2018,Regular Season - 1,True,40,Liverpool,https://media.api-sports.io/football/teams/40.png,True,48,West Ham,https://media.api-sports.io/football/teams/48.png,False,4,0,2,0,4,0,,,,,2018
73,"Graham Scott, England",UTC,2018-08-12T12:30:00+00:00,1534077000,1534077000,1534080600,,St. Mary's Stadium,Southampton,Match Finished,FT,90,,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb-eng.svg,2018,Regular Season - 1,True,41,Southampton,https://media.api-sports.io/football/teams/41.png,,44,Burnley,https://media.api-sports.io/football/teams/44.png,,0,0,0,0,0,0,,,,,2018
74,"Michael Oliver, England",UTC,2018-08-12T15:00:00+00:00,1534086000,1534086000,1534089600,494.0,Emirates Stadium,London,Match Finished,FT,90,,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb-eng.svg,2018,Regular Season - 1,True,42,Arsenal,https://media.api-sports.io/football/teams/42.png,False,50,Manchester City,https://media.api-sports.io/football/teams/50.png,True,0,2,0,1,0,2,,,,,2018
75,"Craig Pawson, England",UTC,2018-08-18T11:30:00+00:00,1534591800,1534591800,1534595400,,Cardiff City Stadium,Cardiff,Match Finished,FT,90,,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb-eng.svg,2018,Regular Season - 2,True,43,Cardiff,https://media.api-sports.io/football/teams/43.png,,34,Newcastle,https://media.api-sports.io/football/teams/34.png,,0,0,0,0,0,0,,,,,2018
77,"Lee Mason, England",UTC,2018-08-18T14:00:00+00:00,1534600800,1534600800,1534604400,8560.0,Goodison Park,Liverpool,Match Finished,FT,90,,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb-eng.svg,2018,Regular Season - 2,True,45,Everton,https://media.api-sports.io/football/teams/45.png,True,41,Southampton,https://media.api-sports.io/football/teams/41.png,False,2,1,2,0,2,1,,,,,2018
78,"Mike Dean, England",UTC,2018-08-18T14:00:00+00:00,1534600800,1534600800,1534604400,,King Power Stadium,Leicester,Match Finished,FT,90,,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb-eng.svg,2018,Regular Season - 2,True,46,Leicester,https://media.api-sports.io/football/teams/46.png,True,39,Wolves,https://media.api-sports.io/football/teams/39.png,False,2,0,2,0,2,0,,,,,2018
79,"Anthony Taylor, England",UTC,2018-08-18T14:00:00+00:00,1534600800,1534600800,1534604400,489.0,Wembley Stadium,London,Match Finished,FT,90,,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb-eng.svg,2018,Regular Season - 2,True,47,Tottenham,https://media.api-sports.io/football/teams/47.png,True,36,Fulham,https://media.api-sports.io/football/teams/36.png,False,3,1,1,0,3,1,,,,,2018
80,"Stuart Attwell, England",UTC,2018-08-18T14:00:00+00:00,1534600800,1534600800,1534604400,598.0,London Stadium,London,Match Finished,FT,90,,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb-eng.svg,2018,Regular Season - 2,True,48,West Ham,https://media.api-sports.io/football/teams/48.png,False,35,Bournemouth,https://media.api-sports.io/football/teams/35.png,True,1,2,1,0,1,2,,,,,2018
81,"Martin Atkinson, England",UTC,2018-08-18T16:30:00+00:00,1534609800,1534609800,1534613400,519.0,Stamford Bridge,London,Match Finished,FT,90,,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb-eng.svg,2018,Regular Season - 2,True,49,Chelsea,https://media.api-sports.io/football/teams/49.png,True,42,Arsenal,https://media.api-sports.io/football/teams/42.png,False,3,2,2,2,3,2,,,,,2018
